X,Y,OBJECT ID,GLOBAL ID,REQUEST ID,USER  TYPE,REQUEST TYPE,REQUEST DATE,STATUS,STREET SEG ID,COMMENTS
-76.99024248,38.90020861,6784,{1DDD70A3-162F-484E-96B7-20FC65F6F5B6},6784,Pedestrian,Accessibility Issue,2015/09/04 21:13:51+00,Unassigned,2224,Need to add vibrating crosswalk signal button for the DeafBlind and Blind pedestrians on BOTH SIDES of the street at EVERY CORNER plus add bumps on sidewalk ramp to indicate end of sidewalk for DeafBlind and Blind.  THANK YOU.
-77.00204201,38.90565275,6785,{457C8473-E8EC-4546-8390-EF39D35CD383},6785,Pedestrian,Accessibility Issue,2015/09/04 20:51:10+00,Unassigned,907,Need to add vibrating crosswalk signal button for the DeafBlind and Blind pedestrians on BOTH SIDES of the street at EVERY CORNER plus add bumps on sidewalk ramp to indicate end of sidewalk for DeafBlind and Blind.  THANK YOU.
-76.9901997,38.90271074,6786,{57C45E21-EEC7-4CE2-85E0-BFBC07BEDD5C},6786,Pedestrian,Accessibility Issue,2015/09/04 20:59:04+00,Unassigned,8987,Need to add vibrating crosswalk signal button for the DeafBlind and Blind pedestrians on BOTH SIDES of the street at EVERY CORNER plus add bumps on sidewalk ramp to indicate end of sidewalk for DeafBlind and Blind.  THANK YOU.
-76.99616961,38.90021265,6787,{96B37474-8412-499F-9407-80898BDBDC5D},6787,Pedestrian,Accessibility Issue,2015/09/04 21:12:16+00,Unassigned,643,Need to add vibrating crosswalk signal button for the DeafBlind and Blind pedestrians on BOTH SIDES of the street at EVERY CORNER plus add bumps on sidewalk ramp to indicate end of sidewalk for DeafBlind and Blind.  THANK YOU.
-76.99496306,38.9002108,6788,{7CB76573-F1AD-411F-856D-5AB5DC57909F},6788,Pedestrian,Accessibility Issue,2015/09/04 21:12:42+00,Unassigned,2041,Need to add vibrating crosswalk signal button for the DeafBlind and Blind pedestrians on BOTH SIDES of the street at EVERY CORNER plus add bumps on sidewalk ramp to indicate end of sidewalk for DeafBlind and Blind.  THANK YOU.
-77.00130011,38.90564875,6789,{89FB18EF-FD5C-4C1E-BACE-DCB6E3751A19},6789,Pedestrian,Accessibility Issue,2015/09/04 21:19:13+00,Unassigned,7566,Add bumps on corner of ramps on sidewalk on both sides for DeafBlind and Blind to know it's the end/beginning of sidewalk.
-77.01157204,38.95454498,6790,{6042C4D5-3410-448C-B328-33696D118F2F},6790,Pedestrian,Stop sign running,2015/09/05 14:13:13+00,Unassigned,13161,"1st St has no stop sign, but Ingraham has a stop. Yet Ingraham is a larger road. This should be a four-way stop or at the very least there should be a ""opposing traffic does not stop"" sign like there is half a block away at New Hampshire."
-77.03364593,38.89832206,6791,{1FF654C0-48AB-47A8-91C0-37FB7BD6B922},6791,Biker,Red light running,2015/09/07 15:05:26+00,Unassigned,3030,Cars going south on 15th St NW often run the red light way after it's turned red. Either there's something wrong with the light placement or the drivers are tourists who aren't used to lights on the side of the street rather than overhead. Look out!
-77.02963497,38.89981623,6792,{BCADCEFD-6486-4EDF-A4A4-59EEB4071B75},6792,Car Driver,Red light running,2015/09/07 15:09:38+00,Unassigned,7009,"This intersection is very dangerous for peds b/c southbound traffic on 13th has 2 lights right in a row, the first green, the second red. You see a grn light and say ""ok, I can go,"" and then within just a few ft is a red light where peds are crossing"
-77.08627298,38.93749161,6793,{66FFF4FF-FB64-43A1-9201-4AF529BDB198},6793,Car Driver,Other Driving Issue,2015/09/08 15:42:55+00,Unassigned,6571,"Cars in the inner circle try to make left hand turns onto Mass ave., illegally. Creates a dangerous situation when they pull in front of oncoming traffic entering the circle. Need better signs and enforcement. Issues occurs 50% of the time."
